y,p,r
2.2986,-0.7068,-0.4646
2.3011,-0.7024,-0.4632
2.3029,-0.6987,-0.4601
2.3033,-0.6958,-0.4551
2.3024,-0.6932,-0.4483
2.3003,-0.6909,-0.4399
2.2974,-0.6886,-0.4306
2.2934,-0.6862,-0.4202
2.2888,-0.6834,-0.4095
2.2837,-0.6803,-0.3987
2.2786,-0.6769,-0.3881
2.2741,-0.6728,-0.3774
2.2705,-0.6684,-0.3669
2.2678,-0.6639,-0.3562
2.2658,-0.6592,-0.3454
2.2642,-0.6545,-0.3341
2.2625,-0.6496,-0.3225
2.2606,-0.6441,-0.3104
2.2584,-0.6377,-0.2980
2.2564,-0.6303,-0.2853
2.2544,-0.6221,-0.2722
2.2525,-0.6133,-0.2588
2.2506,-0.6038,-0.2452
2.2491,-0.5933,-0.2315
2.2476,-0.5823,-0.2177
2.2460,-0.5709,-0.2036
2.2443,-0.5589,-0.1893
2.2423,-0.5465,-0.1747
2.2400,-0.5332,-0.1602
2.2375,-0.5188,-0.1455
2.2351,-0.5030,-0.1310
2.2327,-0.4858,-0.1167
2.2306,-0.4676,-0.1029
2.2288,-0.4487,-0.0895
2.2271,-0.4297,-0.0766
2.2252,-0.4103,-0.0638
2.2233,-0.3905,-0.0514
2.2212,-0.3705,-0.0392
2.2188,-0.3499,-0.0267
2.2160,-0.3292,-0.0139
2.2126,-0.3086,-0.0004
2.2081,-0.2877,0.0138
2.2025,-0.2673,0.0282
2.1964,-0.2464,0.0428
2.1901,-0.2250,0.0570
2.1837,-0.2028,0.0704
2.1776,-0.1796,0.0827
2.1722,-0.1557,0.0937
2.1675,-0.1318,0.1033
2.1639,-0.1088,0.1121
2.1610,-0.0866,0.1205
2.1580,-0.0650,0.1288
2.1545,-0.0435,0.1373
2.1501,-0.0218,0.1466
2.1445,0.0003,0.1569
2.1379,0.0220,0.1685
2.1302,0.0432,0.1806
2.1221,0.0639,0.1928
2.1140,0.0845,0.2043
2.1062,0.1047,0.2148
2.0992,0.1248,0.2240
2.0932,0.1450,0.2316
2.0882,0.1654,0.2381
2.0841,0.1859,0.2437
2.0800,0.2067,0.2486
2.0758,0.2274,0.2531
2.0710,0.2482,0.2573
2.0657,0.2694,0.2614
2.0601,0.2907,0.2653
2.0541,0.3119,0.2689
2.0477,0.3331,0.2717
2.0409,0.3545,0.2741
2.0337,0.3765,0.2761
2.0263,0.3995,0.2779
2.0189,0.4235,0.2798
2.0118,0.4477,0.2819
2.0052,0.4713,0.2842
1.9988,0.4940,0.2865
1.9927,0.5162,0.2885
1.9862,0.5383,0.2901
1.9797,0.5602,0.2913
1.9730,0.5826,0.2922
1.9663,0.6056,0.2928
1.9599,0.6287,0.2931
1.9536,0.6520,0.2935
1.9476,0.6750,0.2937
1.9415,0.6980,0.2936
1.9355,0.7206,0.2932
1.9296,0.7424,0.2920
1.9235,0.7638,0.2896
1.9170,0.7847,0.2859
1.9099,0.8060,0.2807
1.9017,0.8285,0.2740
1.8928,0.8529,0.2658
1.8830,0.8793,0.2566
1.8726,0.9072,0.2466
1.8616,0.9361,0.2364
1.8504,0.9650,0.2265
1.8397,0.9930,0.2177
1.8293,1.0202,0.2099
1.8192,1.0465,0.2030
1.8094,1.0726,0.1964
1.7998,1.0989,0.1899
1.7900,1.1258,0.1830
1.7802,1.1534,0.1761
1.7703,1.1818,0.1691
1.7603,1.2102,0.1623
1.7498,1.2384,0.1550
1.7386,1.2671,0.1470
1.7274,1.2953,0.1389
1.7171,1.3222,0.1313
1.7087,1.3462,0.1252
1.7023,1.3666,0.1206
1.6975,1.3836,0.1173
1.6934,1.3981,0.1144
1.6889,1.4114,0.1112
1.6841,1.4246,0.1074
1.6791,1.4378,0.1034
1.6740,1.4501,0.0993
1.6698,1.4606,0.0960
1.6664,1.4691,0.0933
1.6640,1.4753,0.0917
1.6626,1.4787,0.0911
1.6622,1.4794,0.0914
1.6624,1.4779,0.0922
1.6633,1.4749,0.0936
1.6647,1.4709,0.0953
1.6665,1.4669,0.0974
1.6691,1.4635,0.0999
1.6726,1.4608,0.1033
1.6773,1.4582,0.1077
1.6830,1.4552,0.1130
1.6896,1.4508,0.1193
1.6971,1.4445,0.1263
1.7046,1.4365,0.1333
1.7118,1.4273,0.1401
1.7185,1.4175,0.1462
1.7246,1.4074,0.1519
1.7312,1.3965,0.1577
1.7389,1.3832,0.1648
1.7485,1.3670,0.1736
1.7600,1.3479,0.1842
1.7724,1.3267,0.1958
1.7852,1.3046,0.2078
1.7980,1.2816,0.2198
